"","SubID","PatternType","RT","Acc","Speed","Gender","Coh","group"
"203",1043,"radial",1.2343,TRUE,"2deg/s","Male",0.45,"child"
"204",1043,"linear",1.5851,TRUE,"8deg/s","Male",0.6,"child"
"205",1043,"linear",1.9686,TRUE,"8deg/s","Male",0.3,"child"
"206",1043,"radial",4.174,TRUE,"8deg/s","Male",0.6,"child"
"207",1043,"radial",2.5031,TRUE,"2deg/s","Male",0.3,"child"
"208",1043,"linear",5.0764,TRUE,"8deg/s","Male",0.15,"child"
"209",1043,"linear",1.218,TRUE,"8deg/s","Male",0.3,"child"
"210",1043,"radial",1.3681,TRUE,"2deg/s","Male",0.3,"child"
"211",1043,"radial",1.8682,TRUE,"8deg/s","Male",0.3,"child"
"212",1043,"linear",3.6143,TRUE,"8deg/s","Male",0.3,"child"
"213",1043,"linear",2.936,TRUE,"2deg/s","Male",0.3,"child"
"214",1043,"radial",1.1942,TRUE,"2deg/s","Male",0.45,"child"
"215",1043,"linear",1.7778,TRUE,"2deg/s","Male",0.45,"child"
"216",1043,"linear",1.201,TRUE,"8deg/s","Male",0.6,"child"
"217",1043,"radial",1.6435,TRUE,"8deg/s","Male",0.3,"child"
"218",1043,"linear",3.1531,FALSE,"2deg/s","Male",0.6,"child"
"219",1043,"linear",5.7081,TRUE,"2deg/s","Male",0.15,"child"
"220",1043,"linear",1.8015,TRUE,"2deg/s","Male",0.6,"child"
"221",1043,"radial",1.4848,TRUE,"8deg/s","Male",0.3,"child"
"222",1043,"linear",2.7887,TRUE,"2deg/s","Male",0.6,"child"
"223",1043,"radial",1.9032,TRUE,"8deg/s","Male",0.6,"child"
"224",1043,"linear",4.39,FALSE,"2deg/s","Male",0.15,"child"
"225",1043,"linear",4.304,FALSE,"2deg/s","Male",0.6,"child"
"226",1043,"linear",2.5856,TRUE,"8deg/s","Male",0.6,"child"
"227",1043,"radial",4.3702,TRUE,"2deg/s","Male",0.45,"child"
"228",1043,"linear",1.3012,TRUE,"2deg/s","Male",0.6,"child"
"229",1043,"radial",1.3679,TRUE,"8deg/s","Male",0.45,"child"
"230",1043,"linear",1.3177,TRUE,"8deg/s","Male",0.6,"child"
"231",1043,"linear",2.9026,TRUE,"8deg/s","Male",0.6,"child"
"232",1043,"linear",2.0352,TRUE,"8deg/s","Male",0.3,"child"
"233",1043,"radial",1.9285,TRUE,"8deg/s","Male",0.3,"child"
"234",1043,"linear",2.054,TRUE,"2deg/s","Male",0.45,"child"
"235",1043,"radial",1.487,TRUE,"8deg/s","Male",0.6,"child"
"236",1043,"linear",7.2061,TRUE,"8deg/s","Male",0.6,"child"
"237",1043,"radial",1.8435,TRUE,"2deg/s","Male",0.45,"child"
"238",1043,"linear",3.203,TRUE,"2deg/s","Male",0.45,"child"
"239",1043,"linear",2.5571,TRUE,"8deg/s","Male",0.45,"child"
"240",1043,"linear",3.3199,TRUE,"8deg/s","Male",0.3,"child"
"241",1043,"linear",4.2703,FALSE,"8deg/s","Male",0.15,"child"
"242",1043,"linear",1.6564,TRUE,"8deg/s","Male",0.6,"child"
"243",1043,"linear",1.8353,FALSE,"2deg/s","Male",0.15,"child"
"244",1043,"radial",4.6875,FALSE,"2deg/s","Male",0.6,"child"
"245",1043,"linear",3.1358,FALSE,"2deg/s","Male",0.45,"child"
"246",1043,"radial",4.4421,TRUE,"8deg/s","Male",0.6,"child"
"247",1043,"linear",3.0027,TRUE,"8deg/s","Male",0.15,"child"
"248",1043,"radial",1.1848,TRUE,"8deg/s","Male",0.3,"child"
"249",1043,"radial",1.3013,TRUE,"8deg/s","Male",0.3,"child"
"250",1043,"radial",1.779,TRUE,"2deg/s","Male",0.15,"child"
"251",1043,"linear",1.9944,TRUE,"2deg/s","Male",0.3,"child"
"252",1043,"linear",9.3411,TRUE,"8deg/s","Male",0.3,"child"
"253",1043,"radial",3.2029,TRUE,"2deg/s","Male",0.6,"child"
"254",1043,"radial",6.0083,FALSE,"2deg/s","Male",0.6,"child"
"255",1043,"radial",1.3368,TRUE,"8deg/s","Male",0.3,"child"
"256",1043,"radial",2.6054,TRUE,"2deg/s","Male",0.15,"child"
"257",1043,"radial",5.9288,TRUE,"2deg/s","Male",0.15,"child"
"258",1043,"radial",1.5527,TRUE,"8deg/s","Male",0.6,"child"
"259",1043,"linear",4.7375,TRUE,"8deg/s","Male",0.15,"child"
"260",1043,"linear",1.8458,TRUE,"2deg/s","Male",0.15,"child"
"261",1043,"radial",3.7915,TRUE,"2deg/s","Male",0.15,"child"
"262",1043,"radial",1.418,TRUE,"2deg/s","Male",0.15,"child"
"263",1043,"linear",1.535,TRUE,"2deg/s","Male",0.6,"child"
"264",1043,"radial",2.5191,TRUE,"2deg/s","Male",0.15,"child"
"265",1043,"radial",1.1506,TRUE,"2deg/s","Male",0.3,"child"
"266",1043,"radial",1.7687,TRUE,"8deg/s","Male",0.45,"child"
"267",1043,"radial",2.1352,TRUE,"8deg/s","Male",0.45,"child"
"268",1043,"linear",1.8516,TRUE,"8deg/s","Male",0.6,"child"
"269",1043,"linear",5.0878,TRUE,"2deg/s","Male",0.45,"child"
"270",1043,"radial",1.5852,TRUE,"8deg/s","Male",0.6,"child"
"271",1043,"linear",1.4919,TRUE,"8deg/s","Male",0.6,"child"
"272",1043,"radial",2.0019,TRUE,"8deg/s","Male",0.6,"child"
"273",1043,"linear",7.5562,TRUE,"8deg/s","Male",0.15,"child"
"274",1043,"linear",6.0434,FALSE,"8deg/s","Male",0.15,"child"
"275",1043,"radial",1.4525,TRUE,"2deg/s","Male",0.45,"child"
"276",1043,"linear",2.8023,TRUE,"2deg/s","Male",0.15,"child"
"277",1043,"radial",1.2342,TRUE,"8deg/s","Male",0.6,"child"
"278",1043,"linear",1.7848,TRUE,"2deg/s","Male",0.45,"child"
"279",1043,"linear",3.0864,TRUE,"2deg/s","Male",0.3,"child"
"280",1043,"linear",1.4356,TRUE,"2deg/s","Male",0.3,"child"
"281",1043,"linear",1.5396,TRUE,"8deg/s","Male",0.6,"child"
"282",1043,"radial",1.7575,TRUE,"2deg/s","Male",0.3,"child"
"283",1043,"linear",5.1707,TRUE,"8deg/s","Male",0.3,"child"
"284",1043,"linear",4.1428,TRUE,"2deg/s","Male",0.3,"child"
"285",1043,"radial",1.7515,TRUE,"8deg/s","Male",0.6,"child"
"286",1043,"radial",3.2861,FALSE,"8deg/s","Male",0.15,"child"
