"SubID","Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","Speed","AgeDays","Gender","Condition","Group","group.name","Coh"
"1043",4,4,"linear",0,0.45,"R",1.6179,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,14,"linear",0.45,0,"L",3.1198,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,2,"radial",0,0.15,"R",1.9191,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",4,8,"radial",0.45,0,"L",1.0344,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,8,"linear",0.45,0,"L",1.6346,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",2,4,"linear",0,0.45,"R",1.6848,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",1,13,"linear",0,0.15," ",0,FALSE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,13,"radial",0.6,0,"R",3.5292,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,4,"radial",0,0.45,"R",1.3847,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",2,14,"linear",0,0.3,"L",3.4195,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",1,12,"linear",0,0.3,"R",3.2695,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",2,9,"radial",0,0.3,"R",3.4076,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",3,3,"radial",0.45,0,"L",4.087,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",3,1,"radial",0,0.15,"R",1.6687,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",4,3,"radial",0,0.15,"R",1.3015,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",3,1,"radial",0,0.15,"R",1.4849,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",3,12,"radial",0,0.6,"R",1.4513,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",2,14,"linear",0,0.3,"R",3.1106,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",3,7,"radial",0.6,0,"L",3.5197,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",1,15,"linear",0,0.15,"R",6.9922,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",4,15,"radial",0.15,0,"L",1.2678,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",4,12,"linear",0,0.3,"R",3.1024,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",4,9,"radial",0.15,0,"L",2.1687,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,6,"linear",0,0.45,"R",2.2355,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,14,"radial",0,0.6,"R",1.0675,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,10,"linear",0,0.15,"R",2.9691,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",3,4,"linear",0.15,0,"L",1.8236,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,10,"linear",0,0.15,"R",5.0042,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,15,"radial",0,0.6,"R",1.6691,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,14,"radial",0.15,0,"L",1.9852,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",4,13,"linear",0,0.15,"R",2.5686,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,6,"radial",0.15,0,"L",1.6347,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,3,"radial",0,0.15,"L",2.3354,FALSE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",3,2,"radial",0.45,0,"L",1.6687,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",2,11,"radial",0,0.3,"R",1.2677,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",2,2,"linear",0,0.45,"L",4.0371,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",1,8,"radial",0.45,0,"L",1.469,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,6,"linear",0,0.45,"R",1.985,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,11,"radial",0,0.3,"R",1.301,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",1,11,"radial",0,0.6,"R",1.418,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",3,7,"linear",0,0.45,"R",1.9077,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",1,3,"radial",0,0.45,"R",1.4348,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,12,"radial",0.3,0,"L",1.5187,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",2,2,"radial",0,0.15,"R",8.1902,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,6,"radial",0.3,0,"L",1.3178,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",1,13,"linear",0.3,0,"L",1.868,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",1,1,"linear",0,0.6,"R",5.1377,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",3,5,"linear",0.15,0,"L",1.8399,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,15,"radial",0,0.45,"R",1.5118,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,10,"linear",0.3,0,"L",1.1692,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",3,13,"linear",0,0.6,"R",2.819,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,15,"linear",0,0.15,"R",3.7697,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,1,"radial",0.6,0,"L",3.0213,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",2,10,"radial",0,0.6,"R",1.6522,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,15,"linear",0,0.15,"R",5.1048,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",3,16,"linear",0.3,0,"L",5.7715,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",2,4,"linear",0,0.45,"L",4.137,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",3,7,"radial",0.15,0,"L",1.4738,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,16,"linear",0.3,0,"R",1.719,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",3,13,"radial",0.6,0,"L",2.9027,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,5,"linear",0,0.6,"R",2.1518,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",1,3,"linear",0,0.6,"R",1.9689,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",2,16,"linear",0.3,0,"L",1.7233,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",2,4,"linear",0.15,0,"R",4.308,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,6,"linear",0.6,0,"L",1.4851,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",3,9,"linear",0,0.3,"R",4.3201,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",1,9,"radial",0.15,0,"R",2.1186,FALSE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,10,"radial",0.6,0,"L",1.6189,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",1,2,"radial",0,0.15,"R",1.673,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",3,12,"linear",0.3,0,"R",2.27,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",1,5,"linear",0.6,0,"L",1.8439,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.6
"1043",4,12,"linear",0.45,0,"L",1.3407,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",4,16,"linear",0.15,0,"L",5.3881,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,16,"linear",0.15,0,"L",2.8558,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,12,"radial",0.3,0,"L",3.1537,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",1,8,"linear",0.45,0,"L",4.4536,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
"1043",2,5,"linear",0,0.15,"L",1.5179,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,16,"linear",0.3,0,"L",3.303,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",1,7,"radial",0,0.3,"R",2.8857,TRUE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",4,16,"linear",0.15,0,"R",2.2685,FALSE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",1,16,"linear",0.15,0,"R",3.6777,FALSE,8,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.15
"1043",2,9,"radial",0,0.3,"R",1.5015,TRUE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.3
"1043",3,11,"linear",0.45,0,"R",1.6701,FALSE,2,2704,"Male","unknown.no.rpt","linear-radial coh [.15 .3 .45 .6]",8228,0.45
