ParticipantID,SessionDate,Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc,Coh,Run,DegPSec,Gender,Race,Ethnicity,Language,Setting,State,SpeedOrder,AgeYears,Age,SubID,Speed
1,Oct-14,3,6,radial,0,0.1,R,1.3552,TRUE,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,7,linear,0.05,0,R,2.7523,FALSE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,7,radial,0,0.05,L,2.5358,FALSE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,8,linear,0,0.2,L,1.1344,FALSE,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,8,linear,0.2,0,L,0.88424,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,9,linear,0,0.15,R,1.0009,TRUE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,9,linear,0,0.1,L,0.98445,FALSE,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,10,radial,0.05,0,L,3.2201,TRUE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,10,radial,0.2,0,L,1.1518,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,11,radial,0.15,0,L,1.3346,TRUE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,11,linear,0.15,0,L,1.301,TRUE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,12,radial,0,0.1,R,2.8863,TRUE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,12,linear,0.05,0,L,1.3919,TRUE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,13,radial,0.1,0,L,1.4223,TRUE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,13,linear,0,0.15,L,1.3847,FALSE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,14,linear,0,0.1,R,2.0564,TRUE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,14,linear,0,0.2,R,1.3513,TRUE,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,15,linear,0,0.05,R,1.5181,TRUE,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,15,linear,0.1,0,L,2.2855,TRUE,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,3,16,linear,0.15,0,L,1.3011,TRUE,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,3,16,linear,0,0.05,L,1.8349,FALSE,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
1,Oct-14,4,1,linear,0.1,0,L,1.2348,TRUE,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,2
1,Oct-14,4,1,radial,0.15,0,L,1.241,TRUE,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,8-Feb,21.86447639,21.86447639,1,8
