ParticipantID,SessionDate,Block,Trial,PatternType,LeftCoh,RightCoh,Response,RT,Acc,Coh,Run,DegPSec,Gender,Race,Ethnicity,Language,Setting,State,SpeedOrder,AgeYears
1,Oct-2014,3,8,linear,0,0.2,L,1.1344,0,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,8,linear,0.2,0,L,0.88424,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,9,linear,0,0.15,R,1.0009,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,9,linear,0,0.1,L,0.98445,0,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,10,radial,0.05,0,L,3.2201,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,10,radial,0.2,0,L,1.1518,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,11,radial,0.15,0,L,1.3346,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,11,linear,0.15,0,L,1.301,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,12,radial,0,0.1,R,2.8863,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,12,linear,0.05,0,L,1.3919,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,13,radial,0.1,0,L,1.4223,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,13,linear,0,0.15,L,1.3847,0,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,14,linear,0,0.1,R,2.0564,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,14,linear,0,0.2,R,1.3513,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,15,linear,0,0.05,R,1.5181,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,15,linear,0.1,0,L,2.2855,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,16,linear,0.15,0,L,1.3011,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,3,16,linear,0,0.05,L,1.8349,0,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,1,linear,0.1,0,L,1.2348,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,1,radial,0.15,0,L,1.241,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,2,radial,0.2,0,L,1.0177,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,2,linear,0.2,0,L,0.96766,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,3,radial,0,0.05,R,2.2352,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,3,radial,0.1,0,L,1.8521,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,4,linear,0.2,0,L,0.86751,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,4,radial,0,0.15,R,2.4067,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,5,linear,0.05,0,L,1.0846,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,5,linear,0,0.1,R,3.4863,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,6,radial,0,0.2,L,1.4241,0,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,6,radial,0,0.2,R,0.86781,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,7,radial,0,0.15,R,1.4854,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,7,radial,0.05,0,L,1.2345,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,8,linear,0,0.2,R,1.1346,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,8,linear,0.15,0,L,0.9343,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,9,linear,0,0.15,L,1.3343,0,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,9,radial,0,0.1,L,1.1847,0,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,10,linear,0,0.1,R,2.1351,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,10,radial,0,0.05,L,2.7534,0,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,11,radial,0.05,0,L,1.8351,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,11,radial,0.2,0,L,1.0719,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,12,linear,0,0.05,R,1.9683,1,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,12,linear,0.05,0,L,1.1105,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,13,radial,0.15,0,L,1.9038,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,13,linear,0,0.15,L,1.368,0,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,14,linear,0.15,0,L,2.155,1,0.15,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,14,linear,0,0.2,R,1.2012,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,15,radial,0,0.1,R,1.7182,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,15,linear,0.1,0,L,1.2253,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,16,radial,0.1,0,R,2.7358,0,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,4,16,linear,0,0.05,R,1.529,1,0.05,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,1,radial,0.2,0,L,0.95111,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,1,linear,0.2,0,L,0.83767,1,0.2,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,2,linear,0.1,0,L,2.052,1,0.1,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,2,radial,0.15,0,L,1.0844,1,0.15,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,3,linear,0.2,0,L,1.2381,1,0.2,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,3,linear,0,0.1,R,1.9183,1,0.1,2,8,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
1,Oct-2014,5,4,radial,0,0.05,L,1.5014,0,0.05,1,2,Male,White,Not Hispanic or Latino,English,Lab,PA,2-8,21.86447639
