"","ParticipantID","SessionDate","Block","Trial","PatternType","LeftCoh","RightCoh","Response","RT","Acc","Coh","Run","DegPSec","session.id","session.name","participant.gender","participant.race","participant.ethnicity","participant.language","participant.setting","participant.state","task.ident","task2.ident","task2.description","group.ident","AgeYears"
"49",1,2014-10-13,5,4,"radial",0,0.05,"L",1.5014,"FALSE",0.05,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"50",1,2014-10-13,5,9,"radial",0.05,0,"R",2.1556,"FALSE",0.05,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"51",1,2014-10-13,1,15,"radial",0,0.1,"L",2.0746,"FALSE",0.1,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"52",1,2014-10-13,1,16,"radial",0.1,0,"R",2.1296,"FALSE",0.1,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"53",1,2014-10-13,2,14,"radial",0,0.1,"L",1.8408,"FALSE",0.1,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"54",1,2014-10-13,2,15,"radial",0.1,0,"L",2.869,"TRUE",0.1,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"55",1,2014-10-13,3,12,"radial",0,0.1,"R",2.8863,"TRUE",0.1,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"56",1,2014-10-13,3,13,"radial",0.1,0,"L",1.4223,"TRUE",0.1,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"57",1,2014-10-13,4,15,"radial",0,0.1,"R",1.7182,"TRUE",0.1,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"58",1,2014-10-13,4,16,"radial",0.1,0,"R",2.7358,"FALSE",0.1,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"59",1,2014-10-13,5,11,"radial",0,0.1,"R",1.4945,"TRUE",0.1,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
"60",1,2014-10-13,5,12,"radial",0.1,0,"R",2.1351,"FALSE",0.1,1,2,6498,NA,"Male","White","Not Hispanic or Latino","English","Lab","PA","radial-laminar-8dps-05-10-15-20-pct-coh","radial-laminar-2dps-05-10-15-20-pct-coh","2 deg/s test with 5, 10, 15, 20% coherence levels","2-8",21.864476386037
